Verdens Litteraturhistorie - bind 10 - Århundredskiftet 1890-1920,"Redaktion: F. J. Billeskov Jansen, Hakon Stangerup og P. H. Traustedt", fra 1973 på forlaget Politiken,ISBN: 87-567-1537-4,33637.jpg,25,4,"Indb. 637sider, illustreret. Udg.biblioteksbog i fin stand. 826gram.", Litteraturhistorie,,,,,,,,,,
Enhjørningen,Martine Bourre, fra 2006 på forlaget Thorup,ISBN: 87-7889-287-2,33774.jpg,25,6,"""Dronningen møder den smukke enhjørning og inviterer den med hjem. Men da den har været nogen tid på slottet, bliver den syg. Dronningen lader den vende tilbage til skoven, og den bliver straks rask"" Hardback, 25x25cm. Som ny. 470g.", Skønlitteratur, Børnebøger,,,,,,,,,
Kommunikationsteknik - Få dine budskaber igennem - Planlæg og forbered et foredrag - Skriftlig kommunikation,Sandy McMillan,1. udgave fra 2002 på forlaget Globe,ISBN: 87-7900-904-2,33808.jpg,30,6,Hft. 128sider. Som ny. 273gram, Personlig udvikling, Kommunikation,,,,,,,,,
"Mad, inspiration og livsglæde - med kost, motion og sund fornuft",Lise Brinkman Madsen,"1. udgave fra 2001 på forlaget Egmont. Indb. 148 sider, fin stand",ISBN: 8760862173,33943.jpg,75,6,Gode opskrifter og kostråd. Uanset om du ønsker at omlægge dit liv eller bare har brug for inspiration. Alle opskrifter er med energi/protein/fedt/kulhydrat nøgletal., Faglitteratur, Mad & gastronomi, Kogebøger,,,,,,,,
Fra Askepot til Anders And - Børnebogen i kulturhistorisk perspektiv,Vibeke Stybe,2. udgave fra 1970 på forlaget Munksgaard,ISBN: 8716000056,33414.jpg,25,4,"Hft. 209sider, illustreret. 349gram", Studiebøger, Litteraturhistorie,,,,,,,,,
"Købmand, købstad og Hanse - en konge og hans tid",Jørgen Jørgensen,1. udgave fra 1971 på forlaget Munksgaard,ISBN: 87-16-00394-2,33243.jpg,20,4,"Hft, 46 sider. Udg.biblioteksbog. illustreret med fotos og tegninger. Hæfte nr 2 af 6 i serien ""En konge og hans tid"". 123gram.", Historie:Danmark,,,,,,,,,,
Sin egen Lykkes Smed - og De misbrugte Elskovsbreve,Gottfried Keller, fra 1946 på forlaget Thanning & Appel,,33270.jpg,20,4,Hft. 13x20cm. 117sider illustreret med tegninger af Harald Juhl. 148g., Skønlitteratur, Humor, Fortællinger,,,,,,,,
Fabeldyr og sagnfolk,Bengt Holbek og Iørn Piø, fra 1967 på forlaget Politikens,,33564.jpg,20,3,"Fantastisk lille gl. håndbog med mange beskrivelser af overnaturlige begreber fra fortid, nutid, litteratur, kunst og meget andet. 
 Indb. 12,5x17cm. 512 sider, illustreret. Udg.biblioteksbog med udv. Brugsspor. 459gram.", Studiebøger, Historie:Kultur, Mystik/eventyr, Fortællinger,,,,,,,
EVA,St. St. Blicher, fra 1945 på forlaget Flensted,,33802.jpg,20,5,"Indb. 13,5x20,5cm. 58sider, illustreret med tegninger af Georg Poulsen. 150g.", Skønlitteratur, Noveller,,,,,,,,,
DRONNING GAASEFOD,Anatole France, på Martins forlag,,33148.jpg,15,4,Indb. 270 sider. 487gram., Skønlitteratur, Romaner,,,,,,,,,
Et solstrejf i en stue i Skagen. Portræt af Anna Ancher,Margethe Loerges, fra 1978 på forlaget Hernov,ISBN: 87-7215-871-9,33606.jpg,35,4,"Indb. 21x27,5cm. 143sider, illustreret. Udg.biblioteksbog. 875g.", Studiebøger, Biografier,,,,,,,,,
Islandske Sagaer - Laksdæla saga - Kormaks saga - Finboge den Stærkes saga,, fra 1970 på forlaget Edito bøger,ISBN: 8774330586,33633.jpg,20,4,Indb. 267sider med illustrationer af Povl Christensen. 385gram., Skønlitteratur, Historie:Kultur, Fortællinger,,,,,,,,
BRUTUS - Drama i fem akter,Johan Bojer, fra 1904 på forlaget Nordisk,,33445.jpg,25,4,Antikvarisk bog. Indb. 161sider. 337g., Skønlitteratur, Skuespil, Drama,,,,,,,,
Natur-detektiv - Udforsk naturen med over 30 spændende aktiviteter,Richard Walker,1. udgave fra 2007 på forlaget Globe,ISBN: 978-87-7900-449-8,33775.jpg,25,6,"Naturguide. Hft. 72sider, illustreret. 193g.", Naturvidenskab, Biologi,,,,,,,,,
"Krig, Comedier og Enevoldspragt - 1683-1746",Palle Lauring, fra 1979 på forlaget Schønbergske,ISBN: 8757008450,33109.jpg,35,5,"Indb. 262sider, illustreret. 756gram", Historie:Danmark,,,,,,,,,,
Fantasi og børneteater,Jørn Langsted, fra 1980 på forlaget Institut for Dramaturgi,ISBN: 87-87906-01-5,33208.jpg,15,5,"Aktuelle teaterproblemer 2, teater historie, o.a. Indb. 93sider. Udg.biblioteksbog. 263g.", Studiebøger, Pædagogik, Undervisning, Teater,,,,,,,
Markurells i Wadköbing,Hjalmar Bergman, fra 1979 på forlaget Schultz,ISBN: 87-569-0435-5,33638.jpg,20,3,Hft. 218sider. Udv.brugsspor. 374g., Skønlitteratur, Humor, Fortællinger,,,,,,,,
TITI LIVI AB VRBE CONDITA - studiebog til LATIN,Robertvs Seymour Conway + Carolvs Flamstead Walters, på forlaget Oxford University Press,,33182.jpg,25,4,"Latin - Oxford Classical Texts
Indb. den blå udgave. 588gram.", Studiebøger, Sprog,,,,,,,,,
Børnevennen 1905,Danske forfattere, fra 1905 på H. Hagerups forlag,,33718.jpg,50,3,"Indb. 196 s. Alderen kan ses på bogen, men det giver den blot charme. Alle sider er intakte, ingen manglende, løse eller ødelagte. Fortællinger, eventyr, digte og skildringer af danske forfattere med talrige illustrationer. Red. af Niels K. Kristensen.", Børnebøger,,,,,,,,,,
Kongeparret i Grønland - 1952,Kjeld Rask Therkilsen, fra 1952 på Nyt nordisk forlag Arnold Busck,,34000.jpg,20,4,"Kong Frederik IX og Dronning Ingrids besøg i Grønland 1952. 
Hft. 76sider,  illustreret med mange fotos.
236g.", Erindringer, Grønland,,,,,,,,,
Bonden fra Dige,Morten Korch, på forlaget Morten A. Korch,,33499.jpg,20,4,Indb. 226sider. 301gram., Skønlitteratur, Romaner,,,,,,,,,
"Hemmelighedens kunstner - et udvalg af fortællinger, essays og digte",Martin A. Hansen, fra 1991 på forlaget Gyldendal,ISBN: 87-01-66226-0,33248.jpg,40,5,Hft. 503sider. 718gram, Skønlitteratur,,,,,,,,,,
Ryssensteens Historie fra Frederik VI til vore dage,Arnold Richard Nielsen, fra 1933 på forlaget C.A.Jørgensens bogtrykkri,,33168.jpg,20,3,Om Søbadeanstalten Ryssensteen i Københavns havn. Hft. 21x28cm. 39s. illustreret. Brugsspor på omslag. 219g., Idræt, Lokalhistorie,,,,,,,,,
Danske Støbejernskors,Aase Faye,1. udgave fra 1988 på forlaget Nyt Nordisk,ISBN: 87-17-05923-2,33843.jpg,100,6,Indb. 23x31cm. 247sider illustreret. 1116gram, Studiebøger, Historie:Kultur, Kirkehistorie,,,,,,,,
En sang på trapperne,Henning Ipsen, fra 1981 på forlaget Danmark,,33738.jpg,20,4,Indb. 123sider. 246gram, Skønlitteratur,,,,,,,,,,
"Stueplante-håndbog. - om 280 populære planter til stuen, altanen og terrassen",Agnete Agger og K. Jacobi (red) Bo Bedre,"7. udgave fra 1982 på forlaget Fogtdal. Indb. 191sider, illustreret. Fin stand",ISBN: 8742701198,33445.jpg,25,5,, Faglitteratur, Hus & have,,,,,,,,,
Vor skjulte kulturarv - Arkæologien under overfladen - festskrift til Dronning Margrethe II,Steen Hvass (red) og Det Arkæologiske Nævn, fra 2000 på forlaget Det Kgl. Nordiske Oldskriftselskab og Jysk Arkæologisk selskab,ISBN: 87-89384-71-7,33317.jpg,150,6,"Indb. 22x28cm. 239sider, illustreret. Som ny", Historie:Kultur, Arkæologi,,,,,,,,,
Byzantinske Mosaikker i Grækenland,André Grabar, fra 1963 på forlaget Munksgaard,,33430.jpg,15,5,"Unescos Små Kunstbøger.
28 farveillustrationer. 128g.", Studiebøger, Kunst & kultur, Kunsthistorie,,,,,,,,
CHRISTIERN II.s DATTER,Børge Janssen, fra 1948 på Hus og Hjems forlag,,33735.jpg,20,4,"historisk fortælling

Indb. 287sider. 295gram.", Studiebøger, Historie:Danmark, Fortællinger,,,,,,,,
BAL I DEN BORGERLIGE - En folkekomedie med sange.,Ernst Bruun Olsen, fra 1966 på forlaget Gyldendal,,33887.jpg,20,4,"Her er hele teksten til skuespillet fra 1966.
Hft. 145sider. 232g.", Skønlitteratur, Skuespil,,,,,,,,,
Fatuhiva - Tilbage til naturen,Thor Heyerdahl, fra 1977 på forlaget Lademann,,33306.jpg,20,4,"Indb. 294sider, illustreret. 589g.", Studiebøger, Etnografi og Antropologi, Opdagelsesrejser - ekspeditioner,,,,,,,,
Tøj og funktion - analyse og fremstilling af enkle dragtformer,Ida Hamre og Hanne Meedom, fra 1978 på forlaget Borgen,ISBN: 8741842782,34035.jpg,25,4,Hft. 138sider. 337gram, Faglitteratur, Håndarbejde/hobby/håndværk,,,,,,,,,
Et hundrede Danske Digte - en Lyrisk Antologi,F.J. Billeskov Jansen (red.), fra 1947 på forlaget Høst & Søn,,33079.jpg,25,4,"Indb. 14x19,5cm. 240sider. 463g.", Skønlitteratur, Digte,,,,,,,,,
SANCT HANS URT vi sanke,Fredrik Nygaard, fra 1949 på forlaget Jespersen og Pio,,33654.jpg,20,4,"Hft. 75 sider, illustreret med tegninger af Ole Skouboe Petersen. 217g.", Skønlitteratur, Digte,,,,,,,,,
International Møbelhaandbog I,"Ole Haslund, Edward C.J.Wolf, H.O.Bøggild-Andersen", fra 1945 på Alfred G. Hassings forlag,,33436.jpg,50,2,"Møbelstilarter og Møbeltyper gennem Tiderne.
Indb. 333s. stort format med foto-illustrationer og beskrivelser og fortale af museumsdirektør, mag.art. Otto Andrup.
Bogen er privat indbundet løs i ryg.", Antikviteter,,,,,,,,,,
I tropenattens hede - de dansk Vestindiske øer,Johannes Christensen, fra 1983 på forlaget Branner og Korch,ISBN: 87-411-5295-6,33097.jpg,25,5,"Historien foregår på de danske vestindiske øer, hvor negerslaverne flere gange rejste sig til opgør mod de hvide. Mest omfattende var opstanden på Sct. Jan i året 1733. Hft. 165sider. 222gram.", Romaner, Skønlitteratur,,,,,,,,,
Greven af Monte Cristo 1+2,Alexandre Dumas den Ældre, fra 1979 på forlaget Lademann,ISBN: 87-15-00889-4,33839.jpg,40,6,"To flotte bøger. Indb. 282+272 sider, illustreret af Henry Thelander. 1144gram.", Skønlitteratur, Romaner,,,,,,,,,
ØYEBLIKK I PEIPING - I+II,Lin Yutang, fra 1946 på forlaget H. Aschehoug Co. Oslo,,33462.jpg,25,5,En roman fra nåtidens China. Norsk tekst. Indb. 817sider. 1264g., Romaner, Historie:Kultur,,,,,,,,,
Catriona - hvad der videre hændte David Balfour hjemme og i det Fremmede,Robert Louis Stevenson," fra 1946 på forlaget Rosenkilde og Bagger. Indb. 293sider, illustreret",,33501.jpg,45,5,, Romaner,,,,,,,,,,
Mystikkens verden - Mystiske steder,Anders Westenholtz (red), fra 1990 på forlaget Lademann,ISBN: 87-15-08568-6,33596.jpg,20,5,"Hardback, 24x28cm. 158sider, illustreret. 820g.", Spiritualitet, Okkultisme, Mystik/eventyr,,,,,,,,
Mad med krydderier - Gode råd og opskrifter - Herlige retter med krydderier og krydderurter,Antje Schunka," på Forlaget Komma, 72 sider, indb. udg.biblioteksbog i pæn stand",ISBN: 8775120690,33828.jpg,20,4,, Faglitteratur, Kogebøger, Mad & gastronomi,,,,,,,,
ALBERT ENGSTRÖM - ett Konstnärsalbum,Torsten Fogelqvist, fra 1933 på forlaget Albert Bonnier. Indb. 24x31cm. 130sider med gengivelse af kunstnerens værker ledsaget af svensk tekst. God stand,,33830.jpg,100,4,, Kunsthistorie,,,,,,,,,,
Illegale transporter på Øresund  - Beretninger fra modstandskampen,Chr Algreen-Petersen, fra 2002 på forlaget Frihedsmuseets Venner,ISBN: 87-88214-621,33602.jpg,50,6,"1.del: Autentisk beretning om tyskernes internering af danske soldater og om flygtningetransporter til Sverige. Hft. 145sider, illustreret med fotos. Som ny. 243g.", Danmarks besættelse, Anden verdenskrig,,,,,,,,,
Tegnet,Raymond Khoury, fra 2010 på forlaget Lindhardt og Ringhof,ISBN: 978-87-11-42559-6,33473.jpg,25,4,Indb. 447sider. 727gram, Skønlitteratur, Krimi/spænding,,,,,,,,,
Mands Arv,Lars Nielsen, fra 1970 på forlaget Martins,ISBN: 8756600887,33928.jpg,25,5,Hft. 188sider. 297g., Skønlitteratur, Romaner,,,,,,,,,
Mennesket og Kunsten - Kunstarternes oprindelse og udvikling - Verden omkring os,Aage Marcus (red.), fra 1965 på forlaget Gyldendal,,33297.jpg,40,5,"Indb. 361s. 20,5x27,5cm. illustreret. 1381gram", Kunsthistorie, Historie:Kultur,,,,,,,,,
Fange i et besat Danmark. - Beretninger fra Modstandskampen,Chr. Algreen-Petersen, fra 2003 på forlaget Frihedsmuseets Venner,ISBN: 87-88214-66-4,33758.jpg,75,6,"2.del. Autentisk beretning fra besættelsestiden om en ung dansk modstandsmands tilfangetagelse, fængsling og ophold i fangelejren Frøslev. Hft. 175sider, illustreret med fotos. Som ny. 284g.", Studiebøger, Danmarks besættelse, Anden verdenskrig,,,,,,,,
"Ivar Kamkes konst - ett urval målningar, teckningar ock grafik",Martin Strömberg, fra 1939 på forlaget Nordisk Rotogravyr,,33137.jpg,30,5,Kunstbog. Indb. med lærred. 21x26cm. Indledning med biografi af Kamke. 103 fotogengivelser af kunstnerens værker. God stand. 730g., Kunsthistorie,,,,,,,,,,
Bitre hvedebrødsdage - og 20 andre kærlighedshistorier fra hele verden.,Tove Ditlevsen (red), fra 1976 på forlaget Lademann,,33097.jpg,25,5,"Indb. 251 sider, illustreret af Arne Ungermann. 525gram", Skønlitteratur, Fortællinger, Noveller,,,,,,,,
